Site_ID,Visual_Score,lat,lon,Date_Netted
70A,Optimal,36.6384,-87.5571,21_7_2020
50A,Optimal,36.5894,-87.6461,26_7_2021
74A,Optimal,36.6217,-87.5129,27_7_2021
71A,Optimal,36.6541,-87.5175,13_7_2021
106A,Optimal,36.6186,-87.5809,26_5_2021
63A,Optimal,36.6079,-87.5446,16_6_2021
73A,Suboptimal,36.6181,-87.6101,14_6_2021
45A,Suboptimal,36.5685,-87.6817,20_7_2021
15A,Suboptimal,36.6803,-87.80878,17_8_2020
51A,Suboptimal,36.5957,-87.6295,4_8_2020
22A,Suboptimal,36.6281,-87.7874,19_7_2021
79M,Suboptimal,36.6438,-87.6135,14_7_2021
62A,Suboptimal,36.5748,-87.5123,19_5_2021
53A,Suboptimal,36.5808,-87.6661,20_5_2021
33A,Suboptimal,36.5887,-87.6817,4_8_2021
3M,Suboptimal,36.6165,-87.5144,24_6_2021
48A,Marg_Poor,36.5639,-87.6856,3_8_2021
10A,Marg_Poor,36.7122,-87.7942,21_7_2021
13A,Marg_Poor,36.6636,-87.7864,23_6_2021
5A,Marg_Poor,36.5886,-87.4654,17_5_2021
120A,Marg_Poor,36.5766,-87.5625,18_5_2021
91A,Marg_Poor,36.5535,-87.6329,24_5_2021
43M,Marg_Poor,36.5511,-87.5313,1_6_2021
12A,Marg_Poor,36.6647,-87.7886,21_7_2021
75A,Marg_Poor,36.5407,-87.5819,28_7_2021
35A,Marg_Poor,36.5759,-87.6844,5_8_2021
